Datetime_GMT0,DOY,H,D,Z,F,Hours_in_day,Hours_in_year,Data_source
1964-01-09 20:00:00,9,nan,nan,nan,nan,20,213,WDC
1964-01-09 21:00:00,9,nan,nan,nan,nan,21,214,WDC
1964-01-09 22:00:00,9,nan,nan,nan,nan,22,215,WDC
1964-01-09 23:00:00,9,nan,nan,nan,nan,23,216,WDC
1964-01-10 00:00:00,10,nan,nan,nan,nan,0,217,WDC
1964-01-10 01:00:00,10,nan,nan,nan,nan,1,218,WDC
1964-01-10 02:00:00,10,nan,nan,nan,nan,2,219,WDC
1964-01-10 03:00:00,10,nan,nan,nan,nan,3,220,WDC
1964-01-10 04:00:00,10,nan,nan,nan,nan,4,221,WDC
1964-01-10 05:00:00,10,nan,nan,nan,nan,5,222,WDC
1964-01-10 06:00:00,10,nan,nan,nan,nan,6,223,WDC
1964-01-10 07:00:00,10,nan,nan,nan,nan,7,224,WDC
1964-01-10 08:00:00,10,nan,nan,nan,nan,8,225,WDC
1964-01-10 09:00:00,10,nan,nan,nan,nan,9,226,WDC
1964-01-10 10:00:00,10,nan,nan,nan,nan,10,227,WDC
1964-01-10 11:00:00,10,nan,nan,nan,nan,11,228,WDC
1964-01-10 12:00:00,10,nan,nan,nan,nan,12,229,WDC
1964-01-10 13:00:00,10,nan,nan,nan,nan,13,230,WDC
1964-01-10 14:00:00,10,nan,nan,nan,nan,14,231,WDC
1964-01-10 15:00:00,10,nan,nan,nan,nan,15,232,WDC
1964-01-10 16:00:00,10,nan,nan,nan,nan,16,233,WDC
1964-01-10 17:00:00,10,nan,nan,nan,nan,17,234,WDC
1964-01-10 18:00:00,10,nan,nan,nan,nan,18,235,WDC
1964-01-10 19:00:00,10,nan,nan,nan,nan,19,236,WDC
1964-01-10 20:00:00,10,nan,nan,nan,nan,20,237,WDC
1964-01-10 21:00:00,10,nan,nan,nan,nan,21,238,WDC
1964-01-10 22:00:00,10,nan,nan,nan,nan,22,239,WDC
1964-01-10 23:00:00,10,nan,nan,nan,nan,23,240,WDC
1964-01-11 00:00:00,11,nan,nan,nan,nan,0,241,WDC
1964-01-11 01:00:00,11,nan,nan,nan,nan,1,242,WDC
1964-01-11 02:00:00,11,nan,nan,nan,nan,2,243,WDC
1964-01-11 03:00:00,11,nan,nan,nan,nan,3,244,WDC
1964-01-11 04:00:00,11,nan,nan,nan,nan,4,245,WDC
1964-01-11 05:00:00,11,nan,nan,nan,nan,5,246,WDC
1964-01-11 06:00:00,11,nan,nan,nan,nan,6,247,WDC
1964-01-11 07:00:00,11,nan,nan,nan,nan,7,248,WDC
1964-01-11 08:00:00,11,nan,nan,nan,nan,8,249,WDC
1964-01-11 09:00:00,11,nan,nan,nan,nan,9,250,WDC
1964-01-11 10:00:00,11,nan,nan,nan,nan,10,251,WDC
1964-01-11 11:00:00,11,nan,nan,nan,nan,11,252,WDC
1964-01-11 12:00:00,11,nan,nan,nan,nan,12,253,WDC
1964-01-11 13:00:00,11,nan,nan,nan,nan,13,254,WDC
1964-01-11 14:00:00,11,nan,nan,nan,nan,14,255,WDC
1964-01-11 15:00:00,11,nan,nan,nan,nan,15,256,WDC
1964-01-11 16:00:00,11,nan,nan,nan,nan,16,257,WDC
1964-01-11 17:00:00,11,nan,nan,nan,nan,17,258,WDC
1964-01-11 18:00:00,11,nan,nan,nan,nan,18,259,WDC
1964-01-11 19:00:00,11,nan,nan,nan,nan,19,260,WDC
1964-01-11 20:00:00,11,nan,nan,nan,nan,20,261,WDC
1964-01-11 21:00:00,11,nan,nan,nan,nan,21,262,WDC
1964-01-11 22:00:00,11,nan,nan,nan,nan,22,263,WDC
